keywords
digital watermarking
Visual aesthetics
Visual information model
Bag-of-words
ECG biometrics recognition
feature learning
total variation
Rating cone index
Soil moisture
Soil strength
Deep learning for script identification
Document analysis
Handcrafted features for script identification
Multi-lingual database
Multi-script database
Optical character recognition
Script identification
Classification schemes
Expression recognition
Facial expressions recognition
Features
Image processing
Contact lens detection
Fingerprint spoof detection
Iris spoof detection
Presentation attack detection
Print attacks
Classifier performance evaluation
Goodness-of-fit algorithm
Long- and short-term memory networks
Second language acquisition
Thesaurus
Crowdsourced probe vehicle data
pre-crash traffic dynamics
real-time crash risk prediction
rear-end crash
Fiducial
Hybrid architecture
Non-fiducial
Outlier removal
Pattern recognition
Closed-loop prediction
small hydropower power generation prediction
time-series data matching
Downsampling
Heart Sound Signal
Pattern Matching
Phonocardiography
Signal Compression
Spatio-temporal modeling
Temporal information
Video quality assessment
Artificial intelligence (AI) tools
automation
English as a foreign language (EFL)
humanoid robot
translation
Log-structured merge tree
non-volatile memory
Broad learning (BL)
convolution neural networks (CNNs)
emotion recognition
"humanâÂ€Â""robot interaction"
long short-term memory (LSTM)
Compaction
Time-series
Adaptive thresholding method
Image grayscaling
Internet technology
Visual communication database
Yi lacquer art
clinical decision support
continuous monitoring
ECG signal
temporal convolutional networks
Internet of things
Lossless compression
Time series database
Face expression recognition
Hybrid deep network
Video pre-processing
Causal processing
Convolutional encoder–decoder
Phase estimation
Quality and intelligibility
Recurrent networks
Higher education
Isomorphic multimodality
Management system
Semi-supervised fusion features
Classroom feedback systems
computer science education
feature engineering
teaching programming
forensic science
image databases
face quality
GAN
generative priors
subjective study
Columnar temporal databases
Partial periodic patterns
ACE2
Asthma
Comorbidity
Host factor
SARS-CoV-2
BERT
Flash flood
Multi-label text classification
Text classification
african
biometric entropy
demographic differentials
equity measure
Ethnicity
